Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
Municipio de San Jose;839669;Guatemala;;;2019;2019-01-01 - 2020-01-01;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Porque se considero el indicado en nuestro Municipio.;;;;2019-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2020-01-01;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;135528.0;24085.0;195550.0;355166.0;;;Do not know;Other: Por ser primer inventario;;56907.0;2019.0;;;;;;;2020-05-01T03:57:57.217
City of Indianapolis;43907;United States of America;Indianapolis;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);The Indianapolis community greenhouse gas (GHG) inventory was prepared following the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC)1. This Protocol has been adopted by communities around the Globe to ensure that each report that adheres to its principles is relevant, complete, consistent, transparent and accurate. This report uses the GPC city-induced Basic reporting level approach and provides an inventory of the GHGs released inside the Indianapolis geographic boundary during the years of 2010, 2013 and 2016.”Source: City of Indianapolis and Marion County Greenhouse Gas Emissions Inventory Report for 2010, 2013, and 2016 (p. 4);;POINT (-86.1785 39.7676);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, PFCs, SF6;;;;;;;;1382323.0;14630253.0;;18687167.0;;;Decreased;Technological change;;872680.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de Florianópolis;50384;Brazil;Florianópolis;;2019;2013-01-01 - 2013-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-48.5482 -27.595);;2013-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2013-12-31;364 days;;Same – covers entire city and nothing else;No;CO2;;;;;;;;1358385.0;;;740635.0;2099020.0;;This is our first year of calculation;Other: Não há estrutura ou pessoal específico na atividade;;495000.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Columbus;43910;United States of America;Columbus;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Basic Reporting.;;POINT (-82.9988 39.9612);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;5434813.0;5088528.0;1027277.0;10848255.0;11550618.0;;Increased;Increased energy/electricity consumption;;892533.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Alcaldía de Tegucigalpa;50354;Honduras;Tegucigalpa;;2019;2011-01-01 - 2011-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-87.2044 14.1051);;2011-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2011-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;5034286.0;;;1068686.46;1233587.0;;Do not know;Other: the inventory is currently in the proces;;1225043.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Región Metropolitana de Santiago;31180;Chile;Santiago;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);In the Metropolitan Region the GHG inventory was made with the BASIC-GPC protocol.Also the Environment Ministry will publish this year the actualization of the regionalization of the GHG inventory of Chile by 2016, this inventory considers 2006 IPCC guidelines to report and has the compilation of data since 1990 (link: www.snichile.cl).;;POINT (-70.6693 -33.4489);;2016-01-01;Latin America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;16244641.0;7814351.0;2596311.0;23183210.0;;;Decreased;Change in calculation following verification;;7915199.0;2019.0;;;;;;;2020-05-01T03:57:57.217
The Local Government of Quezon City;54348;Philippines;Quezon City;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (120.862 15.6835);;2016-01-01;Southeast Asia and Oceania;C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;5323322.0;2691044.0;;8014366.0;;;This is our first year of calculation;Lack of knowledge overcome;;3076345.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Rajkot Municipal Corporation;54305;India;;;2019;2015-04-01 - 2015-03-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2015-04-01;South and West Asia;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2015-03-31;-1 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;749204.0;998152.0;140329.0;1887685.0;;;Increased;Increased energy/electricity consumption;;1286995.0;2011.0;;;;;;;2020-05-01T03:57:57.217
Egedal Municipality;62855;Denmark;Egedal;;2019;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);National Danish tool for calculating greenhouse gas;;POINT (12.2387 55.795);;2015-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;154185.0;59242.0;0.0;213427.0;0.0;;Stayed the same;No new inventory to report;;42000.0;2015.0;;;;;;;2020-05-01T03:57:57.217
City of Boston;35268;United States of America;Boston;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.;;POINT (-71.0598 42.3584);;2017-01-01;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;4059459.0;2262934.0;;6146099.0;6146099.0;;Decreased;Other;;683015.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Austin;1184;United States of America;Austin;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);We used GPC Basic reporting level and add IPCC emissions from industrial sources;;POINT (-97.7431 30.2672);;2017-01-01;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Larger – covers the whole city and adjoining areas;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;7964557.0;5616022.0;;11524547.0;12485799.0;;Decreased;Policy change;;1227000.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of San Francisco;31182;United States of America;San Francisco;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);San Francisco inventories are completed in accordance with the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC). San Francisco has been tracking its emissions since 1990 in which the methodology and sectors tracked were third party verified during inventory year 2012. Current GHG inventories are completed according to the guidance of verifiers in 2012 and continues to disclose emissions under the GPC framework for reporting purposes to and compliance with the Global Covenant of Mayors (GCOM).;;POINT (-122.419 37.7749);;2017-01-01;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;4335772.32;507037.85;344023.48;5005860.76;5127810.23;;Decreased;Legislative change: Methodology Change;;884363.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Paris;31175;France;Paris;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Since 2014, Paris translate its emission inventory in GPC protocol.;;POINT (2.35222 48.8566);;2014-01-01;Europe;C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;3359242.0;1836421.0;2917831.0;5489249.0;7949494.0;;Decreased;Other;;2249975.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Iskandar Regional Development Authority;54388;Malaysia;Iskandar;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Iskandar Malaysia was the first in Malaysia to adopt the GPC for Community-Scale Greenhouse Gas Emission Inventories (GPC).;;POINT (100.992 1.45556);;2017-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;19908092.0;7176564.0;;16200490.0;;;Increased;Other: Increased GDP;;2090000.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Metropolitan Municipality of Lima;31170;Peru;Lima;;2019;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-77.0283 -12.0433);;2015-01-01;Latin America;C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;;;;15789438.0;;;Do not know;Other: Se desconoce;;9485405.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura Niterói;57509;Brazil;Niterói;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Foi realizado inventário de emissão de gases por meio do Software ClearPath, referente às atividades do ano de 2015.;;POINT (-43.1184 -22.8928);;2018-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Larger – covers the whole city and adjoining areas;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;1134407.8;164574.2;430620.0;1729602.21;0.0;;This is our first year of calculation;Other: Primeiro ano de cálculo;;511786.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Municipio de Iztapa;839668;Guatemala;;;2019;2019-01-01 - 2020-01-01;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);por ser el indicado para nuestro caso  como ciudad o municipio;;;;2019-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2020-01-01;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;54244.0;8490.0;1190.0;63925.0;6344947.0;;Do not know;Other;;11917.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Municipalidad de Rio Grande;60419;Argentina;Rio Grande;;2019;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-67.7002 -53.786);;2015-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;981954.0;;;810086.0;810086.0;;Do not know;;;88741.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Tarakan City;73750;Indonesia;;;2019;2010-01-01 - 2010-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);GPC reporting level : BASIC;;;;2010-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2010-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;339843.46;152320.77;;492164.23;492164.23;;Do not know;Other;;253026.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Bloomington;54109;United States of America;Bloomington;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);The GPC methodology was chosen because it a comprehensive protocol that is used by cities across the world. It was also chosen in an attempt to establish a consistent methodology for GHG accounting going forward.Now that Bloomington is a part of the Global Covenant of Mayors, using the GPC is a requirement for GHG reporting. A new GHG inventory for the community will be completed by fall 2019 using GPC and guidance from ICLEI Local Governments for Sustainability ClearPath software.;;POINT (-86.5264 39.1653);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;627454.0;829264.0;182942.0;1639657.0;1639657.0;;Do not know;Change in methodology;;84981.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Mahasarakham Municipality;840419;Thailand;;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-31;365 days;;;No;CH4, CO2, N20;;;;;;;;62448.58;184372.18;414.93;246291.72;247235.68;;Increased;Change in calculation following verification;;49841.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Khon Kaen City;73738;Thailand;;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2017-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;139565.82;214866.16;40760.64;395192.62;;;Decreased;Technological change;;119265.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Mornington Peninsula Shire;73722;Australia;;;2019;2017-07-01 - 2018-06-30;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2017-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-06-30;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20;;;;;;;;958773.0;992254.0;116185.0;1858540.0;2067212.0;;Increased;Other: Inclusion of BASIC+ sectors;;160862.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of Windsor;50578;Canada;Windsor;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);The 2014 baseline inventory for;;POINT (-83.0364 42.3149);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;1968805.0;102003.0;181709.0;2111433.0;2252052.0;;Increased;Increased energy/electricity consumption;;233763.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Taichung City Government;54389;Taiwan, Greater China;Taichung;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Taiwan has promulgated the “Guideline of GHG Inventory for County and Municipal Government” in 2011, the guideline has been revised according to the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories from ICLEI. With the latest GPC concept and methodology, the inventory has compliance with international regulation.;;POINT (120.647 24.1619);;2017-01-01;East Asia;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;57023748.4;15540054.6;1032598.3;62173728.0;73596401.4;;Increased;Increased energy/electricity consumption;;2803894.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Ville de Nyon;59160;Switzerland;Nyon;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (6.23478 46.3833);;2018-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2;;;;;;;;98739.0;12895.0;156.0;111703.0;111790.0;;Increased;Population increase;;21211.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de Aracaju;52638;Brazil;Aracaju;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-37.0731 -10.9472);;2016-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;737282.0;300814.0;89532.0;1128628.0;;;This is our first year of calculation;Lack of knowledge overcome;;641523.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of Sarasota;74427;United States of America;Sarasota;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (27.3364 82.5307);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;220114.0;407299.0;41350.0;668763.0;;;Decreased;;;56000.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of Athens;31149;Greece;Athens;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (23.7275 37.9838);;2017-01-01;Europe;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;1175500.0;2038412.0;614277.0;3537650.0;3828189.0;;Increased;Increased energy/electricity consumption;;664046.0;2011.0;;;;;;;2020-05-01T03:57:57.217
Wollongong City Council;54253;Australia;Wollongong;;2019;2016-07-01 - 2017-06-30;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);This information has been submitted by Ironbark Sustainability to GCoM. I will not provide it again here;;POINT (150.893 -34.4278);;2016-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-06-30;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;802881.0;1944120.0;;3091346.0;281078.0;;This is our first year of calculation;Other: Joined GCoM;;216071.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of West Palm Beach;55801;United States of America;West Palm Beach;;2019;2013-01-01 - 2013-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-80.0534 26.7153);;2013-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2013-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;383625.0;789569.0;21146.7;1484767.0;0.0;;Decreased;Technological change;;112906.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of Buenos Aires;31155;Argentina;Buenos Aires;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);En el año 2015, el Gobierno de la Ciudad Autónoma de Buenos Aires adhirió al “Acuerdo de Alcaldes”. Con ello, asumió distintos compromisos, entre ellos el de adecuar sus Inventarios de Gases de Efecto Invernadero al nivel Básico del Protocolo Global para Inventarios de Gases de Efecto Invernadero a Escala de Comunidad (“Global Protocol for Community-Scale Greenhouse Gas Emission Inventories” - GPC ). En septiembre de ese año logró actualizar los inventarios desde el año 2000 hasta el 2014 a dicho estándar. Posteriormente, en el Plan de Acción frente al Cambio Climático 2020 (PACC) publicado por el GCBA en el año 2015, se publicaron los resultados de los inventarios del periodo 2000-2014. En los años siguientes se continuó trabajando en la actualización de los inventarios, elaborandose  a la fecha los inventarios para los años 2015 y 2016 para la Ciudad de Buenos Aires.;;POINT (-58.3816 -34.6037);;2016-01-01;Latin America;C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;15633080.0;4186547.0;2480149.0;13100079.0;13764762.0;;Decreased;Improved data accuracy;;3059122.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Municipio de Loja;69848;Ecuador;Loja;;2019;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-3.99313 -79.2042);;2015-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;No;CO2;;;;;;;;381960.0;41918.0;0.0;423878.0;0.0;;This is our first year of calculation;Lack of knowledge overcome;;214855.0;2010.0;;;;;;;2020-05-01T03:57:57.217
Alcaldia de Valdivia;54613;Chile;Valdivia;;2019;2012-05-26 - 2013-05-26;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);"El inventario de emisiones de GEI se plantea de acuerdo al Protocolo ""Global Protocol For Community - Scale Greenhouse Gas Emissions (GPS)"" - Pilot Version 1.0  con alcance Basic +. Considera todas las emisiones de alcance 1 y 2 de unidades estacionarias, unidades móviles, residuos, procesos industriales y usos de productos, así como la agricultura, silvicultura y otros usos de la tierra (AFOLU). Además se incluyeron las emisiones de alcance 3 del sector residuos y de las unidades móviles.";;;;2012-05-26;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2013-05-26;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;877816.0;0.0;31851.0;419319.0;643973.0;;This is our first year of calculation;Lack of knowledge overcome;;166080.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Calgary;35475;Canada;Calgary;;2019;2018-01-01 - 2018-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);This is the second year using this protocol. The inventory was completed to a BASIC level.;;POINT (-114.071 51.0486);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;11348646.0;7091401.0;168857.0;18438546.0;18607403.0;;Increased;Population increase;;1267344.0;2018.0;;;;;;;2020-05-01T03:57:57.217
New Taipei City Government;56276;Taiwan, Greater China;New Taipei;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);"Since 2014, we inventoried GHG by using the method of GPC, we also inventoried Guideline of GHG accounting and inventory issued by Taiwan EPA, which mainly refer to the ""International Emissions Analysis Protocol (ICLEI)"" and ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"". We have finished 2016 and 2017 GHG inventory and verified by British Standards Institution(BSI Taiwan) in June, 2019.";;POINT (121.446 25.0111);;2016-01-01;East Asia;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;7897231.0;12323518.0;731525.0;20144995.0;20952274.0;;Increased;Increased energy/electricity consumption;;3986689.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Melton City Council;59971;Australia;;;2019;2016-07-01 - 2017-06-30;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-06-30;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;793371.0;1420834.0;148990.0;2363195.0;;;;;;;0.0;;;;;;;2020-05-01T03:57:57.217
City of Tacoma;54026;United States of America;Tacoma;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-122.444 47.2529);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;962074.0;67395.0;71639.0;1074905.0;;;Decreased;Financial conditions;;216279.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of Johannesburg;31115;South Africa;Johannesburg;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (28.0473 -26.2041);;2014-01-01;Africa;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;15772974.0;;;24716713.0;27351000.0;;Decreased;Financial conditions;;5000000.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Orlando;43909;United States of America;Orlando;;2019;2017-10-01 - 2018-09-30;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-81.3792 28.5383);;2017-10-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2018-09-30;364 days;;Same – covers entire city and nothing else;No;CO2;;;;;;;;3271435.0;3722734.0;;6994170.0;6994170.0;;Decreased;Change in weather conditions;;280258.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of Hvidovre;60433;Denmark;Hvidovre;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Calculations are made by web based tool provided by the Danish Government;;POINT (12.4754 55.6425);;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;148305.0;115792.0;0.0;245337.0;264098.0;;Decreased;Technological change;;52380.0;2015.0;;;;;;;2020-05-01T03:57:57.217
Municipality of Rauch;834289;Argentina;;;2020;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;;public;Yes;2014-12-31;364 days;City / Municipality;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;1142897.32;;6654.99;;1020.77;;;;;;;This is our first year of calculation;Other, please specify: No hay datos;4316.45;15520.0;2014.0;;;;;;;2021-04-10T02:18:55.717
Município de Fafe;50671;Portugal;Fafe;;2020;;;;;POINT (-8.17286 41.4508);;;Europe;;public;Not intending to undertake;;;City / Municipality;;;;;;;;;;;;;;;;;;;219.08;50633.0;2011.0;;;;;;;2021-04-10T02:18:55.717
Município de Braga;55334;Portugal;Braga;;2020;2019-01-01 - 2019-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);A escolha desta metodologia deveu-se à facilidade de compreensão da mesma e pela dimensão que esta adquiriu ao longo dos anos. O Município de Braga como integrante do Pacto dos Autarcas e do ICLEI teve maior facilidade na implementação deste inventário e adicionalmente está alinhada com o tipo de base de dados que o Município usa. Paralelamente, tanto as ferramentas como os factores de emissão, mas sobretudo o uso desta metodologia por outras cidades da mesma dimensão contribuíram para a escolha.;;POINT (-8.43821 41.5337);;2019-01-01;Europe;;public;Yes;2019-12-31;364 days;City / Municipality;Larger – covers the whole city and adjoining areas;Yes;CH4, CO2, N20;;106.0;514245.0;;195668.0;;382325.0;;;;;;;Increased;Change in data collection methods;184.0;189331.0;2020.0;;;;;;;2021-04-10T02:18:55.717
